gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,curcd,costat,ggroup,gind,gsector,gsubind
003226,20061231,2006,INDL,C,D,STD,USD,A,5020,502010,50,50201030
003226,20071231,2007,INDL,C,D,STD,USD,A,5020,502010,50,50201030
003226,20081231,2008,INDL,C,D,STD,USD,A,5020,502010,50,50201030
003226,20091231,2009,INDL,C,D,STD,USD,A,5020,502010,50,50201030
003226,20101231,2010,INDL,C,D,STD,USD,A,5020,502010,50,50201030
003226,20111231,2011,INDL,C,D,STD,USD,A,5020,502010,50,50201030
003226,20121231,2012,INDL,C,D,STD,USD,A,5020,502010,50,50201030
003226,20131231,2013,INDL,C,D,STD,USD,A,5020,502010,50,50201030
003226,20141231,2014,INDL,C,D,STD,USD,A,5020,502010,50,50201030
003226,20151231,2015,INDL,C,D,STD,USD,A,5020,502010,50,50201030
003226,20161231,2016,INDL,C,D,STD,USD,A,5020,502010,50,50201030
003336,20000331,1999,INDL,C,D,STD,USD,A,4510,451020,45,45102010
003336,20010331,2000,INDL,C,D,STD,USD,A,4510,451020,45,45102010
003336,20020331,2001,INDL,C,D,STD,USD,A,4510,451020,45,45102010
003336,20030331,2002,INDL,C,D,STD,USD,A,4510,451020,45,45102010
003336,20040331,2003,INDL,C,D,STD,USD,A,4510,451020,45,45102010
003336,20050331,2004,INDL,C,D,STD,USD,A,4510,451020,45,45102010
003336,20060331,2005,INDL,C,D,STD,USD,A,4510,451020,45,45102010
003336,20070331,2006,INDL,C,D,STD,USD,A,4510,451020,45,45102010
003336,20080331,2007,INDL,C,D,STD,USD,A,4510,451020,45,45102010
003336,20090331,2008,INDL,C,D,STD,USD,A,4510,451020,45,45102010
003336,20100331,2009,INDL,C,D,STD,USD,A,4510,451020,45,45102010
003336,20110331,2010,INDL,C,D,STD,USD,A,4510,451020,45,45102010
003336,20120331,2011,INDL,C,D,STD,USD,A,4510,451020,45,45102010
003336,20130331,2012,INDL,C,D,STD,USD,A,4510,451020,45,45102010
003336,20140331,2013,INDL,C,D,STD,USD,A,4510,451020,45,45102010
